id,auteur,annee,decennie
1613_carta-amigo,anonimo,1613,1610
1614_parecer,rute,1614,1610
1621_censura-lope,lope,1621,1620
1624_colmenares-contra-lope,colmenares,1624,1620
1624_discurso-poetico,jauregui,1624,1620
1624_nochesclaras,faria,1624,1620
1624_opusculo-curioso,anonimo,1624,1620
1625_el-culto-graduado,solorzano,1625,1620
1628_vida-chacon,paravicino,1628,1620
1629_pusilipo-figueroa,figueroa,1629,1620
1630_vida-mayor,anonimo,1630,1630
1633_tragedia,salas,1633,1630
1636_compendio-poetico,villar,1636,1630
1636_ilustracion,mardones,1636,1630
1660_apologetico,medrano,1660,1660
